X,Y,OBJECTID_1,OBJECTID,BLDG_ID,BLDG_NAME,ADDRESS,CITY,ZIPCODE,CSP_SCH_ID,SCH_ID,SCH_NAME,SCH_LABEL,SCH_TYPE,SHARED,COMPLEX,Label,TLT,PL,POINT_X,POINT_Y
-71.08066202,42.29656011,111,117,149,"Greenwood, S Bldg",189 Glenway Street,Dorchester,02121,4130,4130,Greenwood Sarah K-8,S. Greenwood K-8,K-8, , ,50,2,Joel,769616,2933370
-71.08162524,42.30681876,112,118,150,Burke High School Bldg,60 Washington Street,Dorchester,02121,1120,1120,Burke High,Burke HS,HS, , ,18,4,Anthony,769337.0727,2937107.129
-71.04274058,42.31762867,113,119,152,Dever Bldg,325 Mt. Vernon Street,Dorchester,02125,4100,4100,Dever Elementary,Dever,ES, , ,32,1,Christine,779834.1415,2941100.413
-71.04350058,42.31802867,114,120,153,Mccormack Bldg,315 Mt. Vernon Street,Dorchester,02125,2190,2190,McCormack Middle,McCormack MS,MS, , ,88,1,Christine,779627.8188,2941245.078
-71.05215122,42.33802589,115,121,156,Condon Bldg,200 D Street,South Boston,02127,4630,4630,Condon K-8,Condon K-8,K-8, , ,27,1,Christine,777250,2948520
-71.13288061,42.23389865,116,122,998,New Roosevelt Bldg,30 Millstone Road,Hyde Park,02136,4193,4193,Roosevelt K-8 (K1-1),Roosevelt Lower (K1-1),K-8, , ,113,2,Joel,755586.9786,2910470.173
-71.00504508,42.39161618,117,123,2,"Bradley Bldg
",110 Beachview Road,East Boston,02128,4062,4062,Bradley Elementary,Bradley,ES, , ,15,3,Grace,789872.4446,2968119.682
-71.10691069,42.32562212,118,124,111,Hennigan Bldg,200 Heath Street,Jamaica Plain,02130,4230,4230,Hennigan K-8,Hennigan K-8,K-8,Shared, ,59,3,Alex,762465.8386,2943926.859
-71.0918906,42.27178865,119,125,76,Mattapan Eec Bldg,108 Babson Street,Mattapan,02126,4440,4440,Ellison/ Parks ELC,Ellison/ Parks ELC,ELC, , ,42,2,Kelly,766621.3962,2924328.192
-71.0992906,42.31412866,120,126,106,Greater Egleston High,80 School Street,Roxbury,02119,1430,1430,Greater Egleston High,Greater Egleston HS,HS, , ,49,4,Freddie,764546.1198,2939748.034
-71.11386744,42.30703515,121,128,123,Agassiz Building,20 Child St,Jamaica Plain,02130,4285,4285,Mission Hill K-8,Mission Hill K-8,K-8,Shared, ,97,2,Mary,760615.2741,2937144.856
-71.11448219,42.30720829,122,129,123,Agassiz Building,20 Child St,Jamaica Plain,02130,1053,1053,Margarita Muniz Academy,Muniz Academy,HS,Shared, ,84,4,Jonathan,760448.7026,2937207.199
-71.07337366,42.32192747,123,130,30,Emerson Building,6 Shirley St,Roxbury,02119,4123,4123,Dudley Street Neighborhood Charter School,Dudley St NCS,ES, , ,34,1,Marice,771541.563,2942624.044
-71.10656366,42.33393143,124,131,114,Farragut Building,10 Fenwood Road,Jamaica Plain,02115,1441,1441,Kennedy Health Careers Academy (9-10),Kennedy HCA (9-10),HS, , ,70,4,Jonathan,762545.713,2946955.351
-71.11788607,42.2632279,125,132,89,Hyde Park EC,655 Metropolitan Ave,Hyde Park,02136,1195,1195,Community Leadership Academy,BCLA,HS,Shared, ,26,4,Anthony,759599.7646,2921175.945
-71.05487079,42.36591096,126,1335,1000,Eliot Bldg,173 Salem Street,Boston,02113,4381,4381,Eliot K-8,Eliot K-8,K-8, , ,40,1,Marice,776462.973,2958675.531
-71.09202957,42.31766019,127,1736,52,Higginson Bldg,160 Harrishof Street,Roxbury,02119,4241,4241,Higginson Elementary (K1-2),Higginson (K1-2),ES, , ,61,1,Marice,766503.8294,2941044.29
-71.03794008,42.37156844,128,2136,0,Alighieri Bldg,37 Gove St.,East Boston,02128,4321,4321,Alighieri Montessori,Alighieri,ES, , ,2,1,Marice,781025.9568,2960764.018
-71.06814954,42.34876971,129,2938,0,Church Street Bldg,20 Church Street,Boston,02116,1215,1215,Boston Adult Tech Acad,BATA,Special, , ,8,4,Freddie,772904.8128,2952412.938
-71.14596106,42.35044072,130,2946,139,Taft Bldg,20 Warren Street,Brighton,02135,1470,1470,Boston Green Academy,Boston Green Academy,6/7/2012, , ,11,4,Jonathan,751868.3851,2952924.991
-71.08050441,42.32615285,131,3346,150,Dearborn Bldg,35 Greenville Street,Roxbury,02119,1260,1260,Dearborn Academy,Dearborn Academy,6/7/2012, , ,31,4,Anthony,769605.963,2944154.655
